Name,Class,Lv,HP,S/M,Skl,Spd,Lck,Def,Res,Con,Mov,Affin,Weapon ranks
Lugh,Mage,1,16,4,5,6,5,3,5,4,5,['Fire'],['D Anima']
Marcus,Paladin,1,32,9,14,11,10,9,8,11,8,['Ice'],"['D Sword', 'A Lance', 'E Axe']"
Merlinus,Transporter,1,15,0,3,3,10,3,0,25,5,['Dark'],
Miredy,Wyvern Rider,10,30,12,11,10,5,13,3,9,7,['Dark'],['C Lance']
Miredy (HM),Wyvern Rider,10,38,17,15,13,8,16,4,9,7,['Dark'],['C Lance']
Murdoch,General,20,60,27,19,12,12,25,17,20,5,,"['A Lance', 'A Axe']"
Narshen,Wyvern Lord,10,46,16,13,16,13,20,12,11,8,,"['A Sword', 'A Lance']"
Niime,Druid,18,25,21,20,16,15,5,18,4,6,['Anima'],"['A Staff', 'A Dark']"
Noah,Cavalier,7,27,8,7,9,6,7,1,10,7,['Anima'],"['C Sword', 'D Lance']"
Oujay,Mercenary,3,24,7,10,9,6,4,0,8,5,['Wind'],['D Sword']
Percival,Paladin,5,43,17,13,18,12,14,11,12,8,['Dark'],"['A Sword', 'A Lance', 'C Axe']"
Percival (HM),Paladin,5,51,20,16,20,15,15,13,12,8,['Dark'],"['A Sword', 'A Lance', 'C Axe']"
Ray,Shaman,12,23,12,9,9,6,5,10,4,5,['Ice'],['C Dark']
Roy,Lord,1,18,5,5,7,7,5,0,6,5,['Fire'],['D Sword']
Rutger,Myrmidon,4,22,7,12,13,2,5,0,7,5,['Dark'],['C Sword']
Rutger (HM),Myrmidon,4,26,9,14,15,4,6,1,7,5,['Dark'],['C Sword']
Saul,Priest,5,20,4,6,10,2,2,5,6,5,['Ice'],['C Staff']
Shin,Nomad,5,24,7,8,10,6,7,0,7,7,['Ice'],['D Bow']
Shin (HM),Nomad,5,29,9,11,14,8,8,1,7,7,['Ice'],['D Bow']
Sofiya,Shaman,1,15,6,2,4,3,1,8,3,5,['Dark'],['C Dark']
Sue,Nomad,1,18,5,7,8,4,5,0,5,7,['Wind'],['D Bow']
Tate,Pegasus Knight,8,22,6,8,11,3,7,6,5,7,['Ice'],['D Lance']
Tate (HM),Pegasus Knight,8,28,9,12,15,6,8,8,5,7,['Ice'],['D Lance']
Thany,Pegasus Knight,1,17,4,6,12,5,6,5,4,7,['Wind'],['D Lance']
Treck,Cavalier,4,25,8,6,7,5,8,0,9,7,['Wind'],"['E Sword', 'D Lance']"
Wade,Fighter,2,28,8,3,5,4,3,0,13,5,['Fire'],['D Axe']
Wendy,Knight,1,19,4,3,3,6,8,1,10,4,['Fire'],['D Lance']
Wolt,Archer,1,18,4,4,5,2,4,0,7,5,['Ice'],['D Bow']
Yodel,Bishop,20,35,19,18,14,11,5,30,6,6,['Light'],"['S Staff', 'A Light']"
Zealot,Paladin,1,35,10,12,13,5,11,7,11,8,['Dark'],"['C Sword', 'A Lance', 'D Axe']"
Zeis,Wyvern Rider,7,28,14,9,8,6,12,2,10,7,['Thunder'],['D Lance']
Zeis (HM),Wyvern Rider,7,37,19,13,11,9,15,3,10,7,['Thunder'],['D Lance']
Zephiel,King,20,60,24,20,14,15,22,24,17,5,,['S Sword']
